ID	hemi	name	name_full	level 0 / Lobe	level 1 / ROI	level 1 / ROI (abbr)	Modified Cytoarchitectonic
153	rh	FP.d	frontal pole, dorsal part	Frontal Lobe	Frontal Pole	FP	10D/46D
154	rh	FP.m	frontal pole,  medial part	Frontal Lobe	Frontal Pole	FP	10M/10V
155	rh	FP.v	frontal pole,  ventral part	Frontal Lobe	Frontal Pole	FP	10V/46V
156	rh	SFG.rm	superior frontal gyrus, rostromedial part	Frontal Lobe	Superior Frontal Gyrus	SFG	9M
157	rh	SFG.cm	superior frontal gyrus, caudomedial part 	Frontal Lobe	Superior Frontal Gyrus	SFG	8Bm
158	rh	SFG.r	superior frontal gyrus, rostral part	Frontal Lobe	Superior Frontal Gyrus	SFG	46D
159	rh	SFG.ri	superior frontal gyrus, rostrointermediate part	Frontal Lobe	Superior Frontal Gyrus	SFG	9/46D, 9L
160	rh	SFG.ci	superior frontal gyrus, caudointermediate part	Frontal Lobe	Superior Frontal Gyrus	SFG	8A/8B
161	rh	SFG.c	superior frontal gyrus, caudal part	Frontal Lobe	Superior Frontal Gyrus	SFG	8AD
162	rh	IFG.rd	inferior frontal gyrus, rostrodorsal part 	Frontal Lobe	Inferior Frontal Gyrus	IFG	46V/12L
163	rh	IFG.cd	inferior frontal gyrus, caudodorsal part 	Frontal Lobe	Inferior Frontal Gyrus	IFG	46v/45B
164	rh	IFG.cv	inferior frontal gyrus, caudoventral part	Frontal Lobe	Inferior Frontal Gyrus	IFG	8A/45B
165	rh	IFG.iv	inferior frontal gyrus, intermedioventral part	Frontal Lobe	Inferior Frontal Gyrus	IFG	44
166	rh	IFG.rv	inferior frontal gyrus, rostroventral part	Frontal Lobe	Inferior Frontal Gyrus	IFG	12L/45B
167	rh	OrG.rm	orbital gyrus, rostromedial part	Frontal Lobe	Orbital Gyrus	OrG	14
168	rh	OrG.cm	orbital gyrus, caudomedial part	Frontal Lobe	Orbital Gyrus	OrG	OPAI
169	rh	OrG.ri	orbital gyrus, rostrointermediate part	Frontal Lobe	Orbital Gyrus	OrG	11
170	rh	OrG.ci	orbital gyrus, caudointermediate part	Frontal Lobe	Orbital Gyrus	OrG	13
171	rh	OrG.rl	orbital gyrus, rostrolateral part	Frontal Lobe	Orbital Gyrus	OrG	12O, rostral part
172	rh	OrG.cl	orbital gyrus, caudolateral part	Frontal Lobe	Orbital Gyrus	OrG	12O, caudal part
173	rh	M1.v	primary motor cortex, ventral part	Sensorimotor Cortex	Primary Motor Cortex	M1	4(face)
174	rh	M1.i	primary motor cortex, intermediate part 	Sensorimotor Cortex	Primary Motor Cortex	M1	4(arm)
175	rh	M1.d	primary motor cortex, dorsal part	Sensorimotor Cortex	Primary Motor Cortex	M1	4(foot)
176	rh	M1.m	primary motor cortex, medial  part 	Sensorimotor Cortex	Primary Motor Cortex	M1	4, medial part
177	rh	PM.rd	premotor cortex, rostrodorsal part	Sensorimotor Cortex	Premotor Cortex	PM	6DR
178	rh	PM.cd	premotor cortex, caudodorsal part	Sensorimotor Cortex	Premotor Cortex	PM	6DC
179	rh	PM.i	premotor cortex, intermediate part	Sensorimotor Cortex	Premotor Cortex	PM	6DC, ventral part
180	rh	PM.cv	premotor cortex, caudoventral part	Sensorimotor Cortex	Premotor Cortex	PM	6VC
181	rh	PM.rv	premotor cortex, rostroventral part	Sensorimotor Cortex	Premotor Cortex	PM	6VR
182	rh	PM.rm	premotor cortex, rostromedial part	Sensorimotor Cortex	Premotor Cortex	PM	6M, rostral part
183	rh	PM.cm	premotor cortex, caudomedial part	Sensorimotor Cortex	Premotor Cortex	PM	6M, caudal part
184	rh	PoCG.dm	postcentral gyrus, dorsomedial part 	Sensorimotor Cortex	Postcentral Gyrus	PoCG	1/2/3 (foot)
185	rh	PoCG.d	postcentral gyrus, dorsal part	Sensorimotor Cortex	Postcentral Gyrus	PoCG	1/2/3 (trunk)
186	rh	PoCG.i	postcentral gyrus, intermediate part	Sensorimotor Cortex	Postcentral Gyrus	PoCG	1/2/3 (hand)
187	rh	PoCG.v	postcentral gyrus, ventral part 	Sensorimotor Cortex	Postcentral Gyrus	PoCG	1/2/3 (face)
188	rh	FPO.r	frontal parietal operculum, rostral part	Sensorimotor Cortex	Frontal and Parietal Operculum	FPO	ProM/Gu
189	rh	FPO.ri	frontal parietal operculum, rostrointermediate part	Sensorimotor Cortex	Frontal and Parietal Operculum	FPO	S2/PFop
190	rh	FPO.ci	frontal parietal operculum, caudointermediate part	Sensorimotor Cortex	Frontal and Parietal Operculum	FPO	S2/S2I
191	rh	FPO.c	frontal parietal operculum, caudal part	Sensorimotor Cortex	Frontal and Parietal Operculum	FPO	PGop
192	rh	SPL.rv	superior parital lobule, rostroventral part	Parietal Lobe	Superior Parietal Lobe	SPL	PEa, rostral part
193	rh	SPL.iv	superior parital lobule, intermedioventral part	Parietal Lobe	Superior Parietal Lobe	SPL	PEa, caudal part
194	rh	SPL.cv	superior parital lobule, caudoventral part	Parietal Lobe	Superior Parietal Lobe	SPL	PO
195	rh	SPL.rd	superior parital lobule, rostrodorsal part 	Parietal Lobe	Superior Parietal Lobe	SPL	PE
196	rh	SPL.cd	superior parital lobule, caudodorsal part 	Parietal Lobe	Superior Parietal Lobe	SPL	PE/PEC
197	rh	SPL.m	superior parital lobule, medial part	Parietal Lobe	Superior Parietal Lobe	SPL	PECg, dorsal part
198	rh	IPL.sr	inferior parietal lobe, sulcal rostral part	Parietal Lobe	Inferior Parietal Lobe	IPL	AIP, rostral part
199	rh	IPL.sri	inferior parietal lobe, sulcal rostrointermediate part 	Parietal Lobe	Inferior Parietal Lobe	IPL	AIP, caudal part
200	rh	IPL.sci	inferior parietal lobe, sulcal caudointermediate part	Parietal Lobe	Inferior Parietal Lobe	IPL	LIP, rostral part
201	rh	IPL.sc	inferior parietal lobe, sulcal caudal part	Parietal Lobe	Inferior Parietal Lobe	IPL	LIP, caudal part
202	rh	IPL.gr	inferior parietal lobule, gyral rostral part	Parietal Lobe	Inferior Parietal Lobe	IPL	PF
203	rh	IPL.gri	inferior parietal lobule, gyral rostrointermediate part 	Parietal Lobe	Inferior Parietal Lobe	IPL	PFG
204	rh	IPL.gci	inferior parietal loule, gyral caudointermediate part	Parietal Lobe	Inferior Parietal Lobe	IPL	PG
205	rh	IPL.gc	inferior parietal lobule, gyral caudal part	Parietal Lobe	Inferior Parietal Lobe	IPL	Opt
206	rh	PrCu.vr	precuneus, ventrorostral part	Parietal Lobe	Precueus	PrCu	31, rostral part
207	rh	PrCu.dr	precuneus, dorsorostral part	Parietal Lobe	Precueus	PrCu	PECg, ventral part
208	rh	PrCu.dc	precuneus, dorsocaudal part	Parietal Lobe	Precueus	PrCu	PGM/PO
209	rh	PrCu.di	precuneus, dorsointermediate part	Parietal Lobe	Precueus	PrCu	PGM/PEC
210	rh	PrCu.vi	precuneus, ventrointermediate part	Parietal Lobe	Precueus	PrCu	PGM/31, ventral part
211	rh	PrCu.vc	precuneus, ventrocaudal part	Parietal Lobe	Precueus	PrCu	23x
212	rh	PrL.d	prelunate cortex,dorsal part 	Parietal Lobe	Prelunate Cortex	PrL	V3A/V3D/V4A
213	rh	PrL.i	prelunate cortex, intermediate part 	Parietal Lobe	Prelunate Cortex	PrL	V4D, dorsal part
214	rh	PrL.STS	prelunate cortex, superior temporal sulcal part	Parietal Lobe	Prelunate Cortex	PrL	Dpt/MT
215	rh	PrL.v	prelunate cortex, ventral part	Parietal Lobe	Prelunate Cortex	PrL	V4D, ventral part
216	rh	SFL.r	superior temporal gyrus, Sylivian fissure lower bank, rostral part	Temporal Lobe	Superior Temporal Gyrus	STG	ProK
217	rh	SFL.i	superior temporal gyrus, Sylivian fissure lower bank, caudal part	Temporal Lobe	Superior Temporal Gyrus	STG	AK
218	rh	STG.gc	superior temporal gyrus, gyral caudal part	Temporal Lobe	Superior Temporal Gyrus	STG	PaAC/Tpt
219	rh	STG.gr	superior temporal gyrus, gyral rostral part	Temporal Lobe	Superior Temporal Gyrus	STG	ST1/ ST2/TAa
220	rh	STG.gri	superior temporal gyrus, gyral rostrointermediate part	Temporal Lobe	Superior Temporal Gyrus	STG	ST3/PaAL/
221	rh	STG.gci	superior temporal gyrus, gyral caudointermediate part	Temporal Lobe	Superior Temporal Gyrus	STG	Tpt
222	rh	STSU.rEx	superior temporal gyrus, superior temporal sulcus upper bank, rostroexternal part	Temporal Lobe	Superior Temporal Gyrus	STG	TAa, rostral part
223	rh	STSU.cEx	superior temporal gyrus, superior temporal sulcus upper bank, caudoexternal part	Temporal Lobe	Superior Temporal Gyrus	STG	TAa, caudal part
224	rh	STSU.r	superior temporal gyrus, superior temporal sulcus upper bank, rostral part	Temporal Lobe	Superior Temporal Gyrus	STG	TPO, rostral part
225	rh	STSU.ri	superior temporal gyrus, superior temporal sulcus upper bank, rostrointermediate part	Temporal Lobe	Superior Temporal Gyrus	STG	TPO, caudal part
226	rh	STSU.ci	superior temporal gyrus, superior temporal sulcus upper bank, caudointermediate part 	Temporal Lobe	Superior Temporal Gyrus	STG	MT
227	rh	STSU.c	superior temporal gyrus, superior temporal sulcus upper bank, caudal part 	Temporal Lobe	Superior Temporal Gyrus	STG	MST
228	rh	STSL.r	inferior temporal gyrus, superior temporal sulcus lower bank, rostral  part 	Temporal Lobe	Inferior Temporal Gyrus	ITG	TEa
229	rh	STSL.cIn	inferior temporal gyrus, superior temporal sulcus lower bank, caudointernal part	Temporal Lobe	Inferior Temporal Gyrus	ITG	FST
230	rh	STSL.cEx	inferior temporal gyrus, superior temporal sulcus lower bank, caudoexternal part	Temporal Lobe	Inferior Temporal Gyrus	ITG	TEOm
231	rh	ITG.gr	inferior temporal gyrus,  gyral rostral part 	Temporal Lobe	Inferior Temporal Gyrus	ITG	TE1/TE2
232	rh	ITG.gdc	inferior temporal gyrus,  gyral dorsocaudal part 	Temporal Lobe	Inferior Temporal Gyrus	ITG	TEO/TE3
233	rh	ITG.gvc	inferior temporal gyrus, gyral ventrocaudal part	Temporal Lobe	Inferior Temporal Gyrus	ITG	TEO/TF
234	rh	PHG.r	parahippocampal gyrus, rostral part	Temporal Lobe	Parahippocampal Gyrus	PHG	36R
235	rh	PHG.mi	parahippocampal gyrus, mediointermediate part	Temporal Lobe	Parahippocampal Gyrus	PHG	EC
236	rh	PHG.li	parahippocampal gyrus, laterointermediate part	Temporal Lobe	Parahippocampal Gyrus	PHG	TF
237	rh	PHG.cm	parahippocampal gyrus, caudomedial part	Temporal Lobe	Parahippocampal Gyrus	PHG	TH
238	rh	PHG.cl	parahippocampal gyrus, caudolateral part	Temporal Lobe	Parahippocampal Gyrus	PHG	36O
239	rh	TP.vr	temporal pole, ventrorostral part	Temporal Lobe	Temporal Pole	TP	TP
240	rh	TP.mr	temporal pole, mediorostral part	Temporal Lobe	Temporal Pole	TP	TP
241	rh	TP.lr	temporal pole, laterorostral part	Temporal Lobe	Temporal Pole	TP	TP
242	rh	TP.dr	temporal pole, dorsorostral part 	Temporal Lobe	Temporal Pole	TP	TP
243	rh	TP.cEx	temporal pole, caudoexternal  part	Temporal Lobe	Temporal Pole	TP	TP
244	rh	TP.cIn	temporal pole, caudointernal  part	Temporal Lobe	Temporal Pole	TP	TP
245	rh	V1.cm	V1, caudomedial part	Occipital Lobe	V1	V1	V1
246	rh	V1.dl	V1, dorsolateral part	Occipital Lobe	V1	V1	V1
247	rh	V1.vl	V1,  ventrolateral part	Occipital Lobe	V1	V1	V1
248	rh	V1.mvi	V1, medial ventrointermediate part	Occipital Lobe	V1	V1	V1
249	rh	V1.mdi	V1, medial dorsointermediate part	Occipital Lobe	V1	V1	V1
250	rh	V1.rm	V1, rostromedial part	Occipital Lobe	V1	V1	V1
251	rh	V2.l	V2, lateral part	Occipital Lobe	V2	V2	V2
252	rh	V2.d	V2, dorsal part	Occipital Lobe	V2	V2	V2
253	rh	V2.v	V2, ventral part	Occipital Lobe	V2	V2	V2
254	rh	V2.dm	V2, dorsomedial part	Occipital Lobe	V2	V2	V2
255	rh	V2.vm	V2, ventromedial part	Occipital Lobe	V2	V2	V2
256	rh	VMO.l	ventromedial occipital cortex, lateral part	Occipital Lobe	Ventromedial Occipital Cortex	VMO	V3V/V4V,  dorsal part
257	rh	VMO.i	ventromedial occipital cortex, intermediate part	Occipital Lobe	Ventromedial Occipital Cortex	VMO	V3V/V4V,  ventral part
258	rh	VMO.m	ventromedial occipital cortex, medial part	Occipital Lobe	Ventromedial Occipital Cortex	VMO	V3V/V4V,  medial part
259	rh	INS.vr	insula cortex, ventrorostral part	Insula Cortex	Insula Cortex	INS	Ipa
260	rh	INS.dr	insula cortex, dorsorostral part	Insula Cortex	Insula Cortex	INS	Ia
261	rh	INS.ri	insula cortex, rostrointermediate part	Insula Cortex	Insula Cortex	INS	Id
262	rh	INS.v	insula cortex, ventral part	Insula Cortex	Insula Cortex	INS	Ip/Id
263	rh	INS.ci	insula cortex, caudointermediate  part	Insula Cortex	Insula Cortex	INS	Ig, rostral part
264	rh	INS.c	insula cortex, caudal part	Insula Cortex	Insula Cortex	INS	Ig, caudal part
265	rh	CG.vr	cingulate cortex, ventrorostral  part	Limbic Lobe	Cingulate Cortex	CG	25
266	rh	CG.ir	cingulate cortex,  intermediorostral part	Limbic Lobe	Cingulate Cortex	CG	32
267	rh	CG.dr	cingulate cortex, dorsorostral part	Limbic Lobe	Cingulate Cortex	CG	24c, rostral part
268	rh	CG.idr	cingulate cortex, intermediate dorsorostral part	Limbic Lobe	Cingulate Cortex	CG	24c
269	rh	CG.idc	cingulate cortex, intermediate dorsocaudal part	Limbic Lobe	Cingulate Cortex	CG	23c/24d
270	rh	CG.ivr	cingulate cortex, intermediate ventrorostral part	Limbic Lobe	Cingulate Cortex	CG	24a/24b
271	rh	CG.ivc	cingulate cortex, intermediate ventrocaudal part	Limbic Lobe	Cingulate Cortex	CG	23a/23b, rostral part
272	rh	CG.dc	cingulate cortex,  dorsocaudal part	Limbic Lobe	Cingulate Cortex	CG	23a/23b, caudal part
273	rh	CG.vc	cingulate cortex, ventrocaudal part	Limbic Lobe	Cingulate Cortex	CG	23
274	rh	CG.RSr	cingulate cortex, retrosplenial rostral part	Limbic Lobe	Cingulate Cortex	CG	29/30, rostral part
275	rh	CG.RSi	cingulate cortex, retrosplenial intermediate part	Limbic Lobe	Cingulate Cortex	CG	29/30, intermediate part
276	rh	CG.RSc	cingulate cortex, retrosplenial, caudal part	Limbic Lobe	Cingulate Cortex	CG	29/30, caudal part
277	rh	Acb.C	accumbens nucleus, core part	Subcortex Nucleus	Accumbens nucleus	Acb 	AcbC
278	rh	Acb.Sh	accumbens nucleus, shell part	Subcortex Nucleus	Accumbens nucleus	Acb 	AcbSh
279	rh	Amyg.cl	amygdaloid nucleus, caudolateral part	Subcortex Nucleus	Amygdaloid nucleus	Amyg	Amyg
280	rh	Amyg.rl	amygdaloid nucleus, rostrolateral part	Subcortex Nucleus	Amygdaloid nucleus	Amyg	Amyg
281	rh	Amyg.m	amygdaloid nucleus, medial part	Subcortex Nucleus	Amygdaloid nucleus	Amyg	Amyg
282	rh	Cd.Hv	caudate nucleus, head ventral part	Subcortex Nucleus	Caudate nucleus	Cd	Cd
283	rh	Cd.B	caudate nucleus, body part	Subcortex Nucleus	Caudate nucleus	Cd	Cd
284	rh	Cd.Hi	caudate nucleus, head intermediate part	Subcortex Nucleus	Caudate nucleus	Cd	Cd
285	rh	Cd.Hd	caudate nucleus,  head  dorsal part	Subcortex Nucleus	Caudate nucleus	Cd	Cd
286	rh	Cd.T	caudate nucleus, tail part	Subcortex Nucleus	Caudate nucleus	Cd	Cd
287	rh	HF.c	hippocampal formation, caudal part	Subcortex Nucleus	Hippocampus formation	HF	HF
288	rh	HF.i	hippocampal formation, intermediate part	Subcortex Nucleus	Hippocampus formation	HF	HF
289	rh	HF.r	hippocampal formation, rostral part	Subcortex Nucleus	Hippocampus formation	HF	HF
290	rh	Hy.cl	hypothalamus, caudolateral part	Subcortex Nucleus	Hypothalamus	Hy	Hy
291	rh	Hy.rl	hypothalamus, rostrolateral part	Subcortex Nucleus	Hypothalamus	Hy	Hy
292	rh	Hy.m	hypothalamus, medial part	Subcortex Nucleus	Hypothalamus	Hy	Hy
293	rh	GP.v	globus pallidus, ventral part	Subcortex Nucleus	globus pallidus	GP	GP
294	rh	GP.d	globus pallidus, dorsal part	Subcortex Nucleus	globus pallidus	GP	GP
295	rh	Pu.r	putamen, rostral part	Subcortex Nucleus	Putamen	Pu	Pu
296	rh	Pu.v	putamen, ventral part	Subcortex Nucleus	Putamen	Pu	Pu
297	rh	Pu.c	putamen, caudal part	Subcortex Nucleus	Putamen	Pu	Pu
298	rh	Tha.rv	thalamus, rostroventral part	Subcortex Nucleus	thalamus	Tha	Tha
299	rh	Tha.c	thalamus, caudal part	Subcortex Nucleus	thalamus	Tha	Tha
300	rh	Tha.ld	thalamus, laterodorsal part	Subcortex Nucleus	thalamus	Tha	Tha
301	rh	Tha.l	thalamus, lateral part	Subcortex Nucleus	thalamus	Tha	Tha
302	rh	Tha.m	thalamus, medial part	Subcortex Nucleus	thalamus	Tha	Tha
303	rh	Tha.Sh	thalamus, shell part	Subcortex Nucleus	thalamus	Tha	Tha
304	rh	Tha.cv	thalamus, caudoventral part	Subcortex Nucleus	thalamus	Tha	Tha